Country,Financial Literacy Score
Austria,14.4
Bulgaria,12.3
Colombia,11.2
Croatia,12.3
Czech Republic,13
Estonia,13.3
Georgia,12.1
Germany,13.9
"Hong Kong, China",14.8
Hungary,12.3
Indonesia,13.3
Italy,11.1
Korea,13
Malaysia,12.5
Moldova,12.6
Montenegro,11.5
Peru,12.1
Poland,13.1
Portugal ,13.1
North Macedonia ,11.8
Romania ,11.2
Russia,12.5
Slovenia,14.7
